city,address,status
SALMON ARM,973 LAKESHORE DR SW,Licensed
SALMON ARM,2950 11TH AVENUE NORTHEAST,Licensed
SALMON ARM,200 TRANS CANADA HWY,Licensed
SALMON ARM,1050  30TH STREET SW,Licensed
SALT SPRING ISLAND,378 LOWER GANGES ROAD,Licensed
SALT SPRING ISLAND,108  149 FULFORD GANGES ROAD,Licensed
SALT SPRING ISLAND,2661 FULFORD-GANGES ROAD,Licensed
SAYWARD,1590 SAYWARD ROAD,Licensed
SECHELT,5580 WHARF STREET,Licensed
SECHELT,5770 TEREDO ST,Licensed
SETON PORTAGE,1 SETON PORTAGE ROAD,Licensed
SHAWNIGAN LAKE,2890 SHAWNIGAN LAKE RD,Licensed
SICAMOUS,1122 RIVERSIDE AVENUE,Licensed
SICAMOUS,420 MAIN ST,Licensed
SIDNEY,2280 BEACON AVE,Licensed
SIDNEY,2537 BEACON AVE,Licensed
SMITHERS,3251 E  HIGHWAY 16,Licensed
SMITHERS,1492 MAIN STREET,Licensed
SMITHERS,3939 YELLOWHEAD 16,Licensed
SMITHERS,1869 MAIN ST,Licensed
SOINTULA,210 - 1ST STREET,Licensed
SOOKE,6858 WEST COAST ROAD,Licensed
SOOKE,6309 SOOKE RD,Licensed
SOOKE,5126 SOOKE ROAD,Licensed
SOUTH PENDER ISLAND,9801 SPALDING ROAD,Licensed
SPARWOOD,614 DOUGLAS FIR ROAD,Licensed
SQUAMISH,37991  2ND AVE,Licensed
SQUAMISH,38241 CLEVELAND AVE,Licensed
SQUAMISH,38922 PROGRESS WAY,Licensed
STEWART,508 5TH STREET,Licensed
STEWART,405 FIFTH AVENUE,Licensed
SUMMERLAND,3 - 7519 PRAIRIE VALLEY ROAD,Relocation Application
SUMMERLAND,14218 ROSEDALE AVENUE,Licensed
SUMMERLAND,9 - 7519 PRAIRIE VALLEY ROAD,Licensed
SUN PEAKS,7 - 3250 VILLAGE WAY,Licensed
SURREY,413 - 6466  176TH ST,Relocation Application
SURREY,3550 KING GEORGE HWY,Relocation Application
SURREY,1611 128 ST,Relocation Application
SURREY,5590  152 STREET,Licensed
SURREY,9082A 152ND STREET,Licensed
SURREY,3140 KING GEORGE HWY,Licensed
SURREY,700 - 7380 KING GEORGE HWY,Licensed
SURREY,3550 KING GEORGE HWY,Licensed
SURREY,3020 - 152 STREET,Licensed
SURREY,110-7218 KING GEORGE BLVD,Licensed
SURREY,20  16051  24TH AVE,Licensed
SURREY,102  18789 FRASER HWY.,Licensed
SURREY,"UNIT 101, 15388  24TH AVENUE",Licensed
SURREY,12411 KING GEORGE BLVD,Licensed
SURREY,9167 148TH ST,Licensed
SURREY,8410-160TH STREET,Licensed
SURREY,8555  132ND ST,Licensed
SURREY,12054  96TH AVE,Licensed
SURREY,14817  108 AVE,Licensed
SURREY,10176  154TH ST,Licensed
SURREY,5708  176TH ST,Licensed
SURREY,1626 152ND STREET,Licensed
SURREY,103 - 13588 88TH AVENUE,Licensed
SURREY,10768 KING GEORGE HWY,Licensed
SURREY,9850 KING GEORGE HWY,Licensed
SURREY,12867 96 AVENUE,Licensed
SURREY,13468 72ND AVE,Licensed
SURREY,14974 104TH AVE,Licensed
SURREY,225 - 7115  138TH STREET,Licensed
SURREY,17630 56TH AVENUE,Licensed
SURREY,19580 56TH AVE,Licensed
SURREY,5858 176 ST,Licensed
SURREY,170 CENTRAL CITY 13450 102 AVENUE,Licensed
TAHSIS,187 HEAD BAY ROAD,Licensed
TAYLOR,10440 100TH ST,Licensed
TELKWA,RIVERSIDE ST,Licensed
TERRACE,4620 LAKELSE AVE,Licensed
TERRACE,3005 KALUM STREET,Licensed
TERRACE,4529 GREIG STREET,Licensed
TERRACE,2387 THORNHILL ST,Licensed
THETIS ISLAND,46 HARBOUR ROAD,Licensed
THORNHILL,3086 HIGHWAY 16 E,Licensed
TOFINO,120 1ST STREET,Licensed
TRAIL,1389 BAY AVE,Licensed
TRAIL,3 SCHOFIELD HIGHWAY,Licensed
TRAIL,1001 ROSSLAND AVE,Licensed
TUMBLER RIDGE,275 SOUTHGATE,Licensed
UCLUELET,1786 PENINSULA,Licensed
VALEMOUNT,1200 MAIN STREET,Licensed
VALEMOUNT,1485  5TH AVE,Licensed
VANCOUVER,3678 EAST HASTINGS STREET,Relocation Application
VANCOUVER,3045 MAIN ST,Licensed
VANCOUVER,1445 EAST 41ST AVENUE,Licensed
VANCOUVER,900 SEYMOUR ST,Licensed
VANCOUVER,6295 FRASER ST,Licensed
VANCOUVER,1218 WEST PENDER ST,Licensed
VANCOUVER,6509 VICTORIA DRIVE,Licensed
VANCOUVER,375 WATER STREET,Licensed
VANCOUVER,1116  HAMILTON STREET,Licensed
VANCOUVER,111A  1030 DENMAN STREET,Licensed
VANCOUVER,1139 W BROADWAY,Licensed
VANCOUVER,962 WEST KING EDWARD AVE,Licensed
VANCOUVER,855 BURRARD ST,Licensed
VANCOUVER,5650 DUNBAR ST,Licensed
VANCOUVER,961 DENMAN STREET,Licensed
VANCOUVER,1633 MANITOBA ST,Licensed
VANCOUVER,2409 BURRARD STREET,Licensed
VANCOUVER,1622 COMMERCIAL DR,Licensed
VANCOUVER,433 ROBSON STREET,Licensed
VANCOUVER,4892 CLARENDON STREET,Licensed
VANCOUVER,4333 FRASER ST,Licensed
VANCOUVER,2658 GRANVILLE ST,Licensed
VANCOUVER,3338 WEST BROADWAY,Licensed
VANCOUVER,4583 WEST 10TH AVE,Licensed
VANCOUVER,2289 WEST BROADWAY AVENUE,Licensed
VANCOUVER,243 - 2800 EAST 1ST AVENUE,Licensed
VANCOUVER,3415 CAMBIE STREET,Licensed
VANCOUVER,5503 - 5525 W BOULEVARD,Licensed
VANCOUVER,1489 E  HASTINGS ST,Licensed
VANCOUVER,2001 MACDONALD,Licensed
VANCOUVER,769 EAST HASTINGS STREET,Licensed
VANCOUVER,2018 4TH AVE W,Licensed
VANCOUVER,725 S  E  MARINE DR,Licensed
VANCOUVER,1450 MARINE DR SW,Licensed
VANCOUVER,1275 GRANVILLE ST,Licensed
VANCOUVER,898 W  BROADWAY,Licensed
VANCOUVER,1901 POWELL ST,Licensed
VANCOUVER,3728 CLARK DRIVE,Licensed
VANCOUVER,2769 EAST HASTINGS ST,Licensed
VANCOUVER,3678 EAST HASTINGS STREET,Licensed
VANCOUVER,1075 HORNBY STREET,Licensed
VANCOUVER,2889 E  HASTINGS ST,Licensed
VANCOUVER,30  678 DUNSMUIR ST,Licensed
VANCOUVER,500 WEST 12TH AVE,Licensed
VANCOUVER,2733 COMMERCIAL DRIVE,Licensed
VANCOUVER,4474 DUNBAR STREET,Licensed
VANCOUVER,#1 - 555 WEST 12TH AVENUE,Licensed
VANCOUVER,568 ABBOTT STREET,Licensed
VANDERHOOF,2508 BURRARD AVENUE,Licensed
VANDERHOOF,190 W  1ST STREET,Licensed
VANDERHOOF,2351 CHURCH STREET,Licensed
VERNON,4801 27TH STREET,Licensed
VERNON,300 - 4400 32ND STREET,Licensed
VERNON,2705 32ND STREET,Licensed
VERNON,#200 - 2401  58TH AVE,Licensed
VERNON,4209  27TH ST,Licensed
VERNON,1220 KALAMALKA LAKE ROAD,Licensed
VERNON,4803 PLEASANT VALLEY ROAD,Licensed
VERNON,4513 25TH AVE.,Licensed
VERNON,2922 - 30TH AVE,Licensed
VERNON,3914 32ND ST,Licensed
VERNON,3004 30TH AVE,Licensed
VERNON,6301 STICKLE RD,Licensed
VICTORIA,9 - 4144 WILKINSON ROAD (RELO),Relocation Application
VICTORIA,230 COOK ST,Licensed
VICTORIA,510 PANDORA AVENE,Licensed
VICTORIA,919 DOUGLAS ST,Licensed
VICTORIA,1821 COOK STREET,Licensed
VICTORIA,3020 BLANSHARD ST,Licensed
VICTORIA,427 BELLEVILLE ST,Licensed
VICTORIA,2852 DOUGLAS ST,Licensed
VICTORIA,759 YATES STREET,Licensed
VICTORIA,123 GORGE ROAD E,Licensed
VICTORIA,2915 DOUGLAS ST,Licensed
VICTORIA,1075 TILLICUM RD,Licensed
VICTORIA,930 VIEW STREET,Licensed
VICTORIA,2631 QUADRA ST,Licensed
VICTORIA,101 - 1505 ADMIRALS ROAD,Licensed
VICTORIA,1450 DOUGLAS STREET,Licensed
VICTORIA,2323 MILLSTREAM ROAD,Licensed
VICTORIA,3201 SHELBOURNE STREET,Licensed
VICTORIA,130  176 WILSON STREET,Licensed
VICTORIA,104 - 2940 JUTLAND ROAD,Licensed
VICTORIA,425 SIMCOE STREET,Licensed
VIEW ROYAL,23 HELMCKEN ROAD ,Relocation Application
VIEW ROYAL,498 ISLAND HIGHWAY,Licensed
WARFIELD,870 SCHOFIELD HWY,Licensed
WASA,6616 LARCH RD,Licensed
WEST KELOWNA,2442 DROUGHT RD,Licensed
WEST KELOWNA,100  3645 GOSSET ROAD,Licensed
WEST KELOWNA,102  3000 LOUIE DRIVE,Licensed
WEST KELOWNA,2210 BOUCHERIE ROAD,Licensed
WEST KELOWNA,1751 ROSS ROAD,Licensed
WEST VANCOUVER,1C 900 MAIN ST,Licensed
WEST VANCOUVER,2477 MARINE DRIVE,Licensed
WEST VANCOUVER,104 - 100 PARK ROYAL ,Licensed
WEST VANCOUVER,220  16TH ST,Licensed
WHISTLER,2129 LAKE PLACID RD,Licensed
WHISTLER,7017 NESTERS ROAD,Licensed
WHISTLER,1 - 4573 CHATEAU BLVD,Licensed
WHITE ROCK,1235 JOHNSTON ROAD,Licensed
WHITE ROCK,15144 NORTH BLUFF ROAD,Licensed
WILLIAMS LAKE,3015 MACKENZIE AVE N,Licensed
WILLIAMS LAKE,245 DONALD ROAD,Licensed
WILLIAMS LAKE,1730 S BROADWAY,Licensed
WILLIAMS LAKE,1114 DENNY ROAD,Licensed
WILLIAMS LAKE,1118 LAKEVIEW CRES,Licensed
YOUBOU,10524 NORTH SHORE ROAD,Licensed
ZEBALLOS,148 MAQUINNA AVENUE,Licensed
